;"GDP Per Capita"
"1960";1157,88
"1961";1311,1
"1962";1425,3
"1963";1496,67
"1964";1631,48
"1965";1767,72
"1966";1863,98
"1967";1878,73
"1968";2017,69
"1969";2272,95
"1970";2761,17
"1971";3192,13
"1972";3809,98
"1973";5046,76
"1974";5639,08
"1975";6236,36
"1976";6634,86
"1977";7682,95
"1978";9482,04
"1979";11281,02
"1980";12138,31
"1981";10209,07
"1982";9913,74
"1983";9864,34
"1984";9313,17
"1985";9429,57
"1986";13461,83
"1987";16677,51
"1988";17931,28
"1989";17764,38
"1990";22303,96
"1991";23357,76
"1992";26438,23
"1993";25522,63
"1994";27076,61
"1995";31658,35
"1996";30485,87
"1997";26964,05
"1998";27289,06
"1999";26734,94
"2000";23694,76
"2001";23628,33
"2002";25197,27
"2003";30310,36
"2004";34106,66
"2005";34520,24
"2006";36353,88
"2007";41640,08
"2008";45612,71
"2009";41650,37
"2010";41572,46
"2011";46705,9
"2012";43855,85
"2013";46298,92
"2014";48023,87
"2015";41103,26
"2016";42136,12
"2017";44652,59
"2018";47939,28
"2019";46805,14
"2020";46749,48
"2021";51426,75
"2022";48717,99
"2023";52745,76